timestamp,type,passagerId,busId,ligne,arret,montant,methodePaiement
1737532800010,ENTREE_SYSTEME,P0001,,,,,
1737532800020,ENTREE_SYSTEME,P0002,,,,,
1737532800030,ENTREE_SYSTEME,P0003,,,,,
1737532800040,ENTREE_SYSTEME,P0004,,,,,
1737532800050,ENTREE_SYSTEME,P0005,,,,,
1737532800060,ENTREE_SYSTEME,P0006,,,,,
1737532800070,ENTREE_SYSTEME,P0007,,,,,
1737532800080,ENTREE_SYSTEME,P0008,,,,,
1737532800090,ENTREE_SYSTEME,P0009,,,,,
1737532800100,ENTREE_SYSTEME,P0010,,,,,
1737532800110,ENTREE_SYSTEME,P0011,,,,,
1737532800120,ENTREE_SYSTEME,P0012,,,,,
1737532800130,ENTREE_SYSTEME,P0013,,,,,
1737532800140,ENTREE_SYSTEME,P0014,,,,,
1737532800150,ENTREE_SYSTEME,P0015,,,,,
1737532800160,ENTREE_SYSTEME,P0016,,,,,
1737532800170,ENTREE_SYSTEME,P0017,,,,,
1737532800180,ENTREE_SYSTEME,P0018,,,,,
1737532800190,ENTREE_SYSTEME,P0019,,,,,
1737532800200,ENTREE_SYSTEME,P0020,,,,,
1737532800210,ENTREE_SYSTEME,P0021,,,,,
1737532800220,ENTREE_SYSTEME,P0022,,,,,
1737532800230,ENTREE_SYSTEME,P0023,,,,,
1737532800240,ENTREE_SYSTEME,P0024,,,,,
1737532800250,ENTREE_SYSTEME,P0025,,,,,
1737532800260,ENTREE_SYSTEME,P0026,,,,,
1737532800270,ENTREE_SYSTEME,P0027,,,,,
1737532800280,ENTREE_SYSTEME,P0028,,,,,
1737532800290,ENTREE_SYSTEME,P0029,,,,,
1737532800300,ENTREE_SYSTEME,P0030,,,,,
1737532800310,ENTREE_SYSTEME,P0031,,,,,
1737532800320,ENTREE_SYSTEME,P0032,,,,,
1737532800330,ENTREE_SYSTEME,P0033,,,,,
1737532800340,ENTREE_SYSTEME,P0034,,,,,
1737532800350,ENTREE_SYSTEME,P0035,,,,,
1737532800360,ENTREE_SYSTEME,P0036,,,,,
1737532800370,ENTREE_SYSTEME,P0037,,,,,
1737532800380,ENTREE_SYSTEME,P0038,,,,,
1737532800390,ENTREE_SYSTEME,P0039,,,,,
1737532800400,ENTREE_SYSTEME,P0040,,,,,
1737532800410,ENTREE_SYSTEME,P0041,,,,,
1737532800420,ENTREE_SYSTEME,P0042,,,,,
1737532800430,ENTREE_SYSTEME,P0043,,,,,
