timestamp,type,passagerId,busId,ligne,arret,montant,methodePaiement
1737532800000,ENTREE_SYSTEME,P0001,,,,,
1737532800100,ENTREE_SYSTEME,P0002,,,,,
1737532800200,ENTREE_SYSTEME,P0003,,,,,
1737532801000,PAIEMENT,P0001,,,,2.50,CARTE
1737532801100,PAIEMENT,P0002,,,,2.50,ESPECES
1737532801200,PAIEMENT,P0003,,,,2.50,CARTE
1737532805000,PASSAGER_MONTE,P0001,B011,Ligne01,Universite,,
1737532805100,PASSAGER_MONTE,P0002,B011,Ligne01,Universite,,
1737532810000,BUS_DEPART,,B011,Ligne01,Universite,,
1737532815000,BUS_ARRIVEE,,B011,Ligne01,Centre-ville,,
1737532816000,PASSAGER_DESCEND,P0001,B011,Ligne01,Centre-ville,,
1737532816100,PASSAGER_DESCEND,P0002,B011,Ligne01,Centre-ville,,
1737532820000,PASSAGER_MONTE,P0003,B012,Ligne01,Cegep,,
1737532822000,BUS_DEPART,,B012,Ligne01,Cegep,,
1737532825000,BUS_ARRIVEE,,B012,Ligne01,Gare,,
1737532826000,PASSAGER_DESCEND,P0003,B012,Ligne01,Gare,,
1737532830000,BUS_DEPART,,B012,Ligne01,Gare,,
