timestamp,type,passagerId,busId,ligne,arret,montant,methodePaiement
1737532800000,ENTREE_SYSTEME,P0001,,,,,
1737532800100,ENTREE_SYSTEME,P0002,,,,,
1737532800200,ENTREE_SYSTEME,P0003,,,,,
1737532800300,ENTREE_SYSTEME,P0004,,,,,
1737532801000,PAIEMENT,P0001,,,,2.50,CARTE
1737532801100,PAIEMENT,P0002,,,,2.50,CARTE
1737532801200,PAIEMENT,P0003,,,,2.50,CARTE
1737532801300,PAIEMENT,P0004,,,,2.50,CARTE
1737532805000,PASSAGER_MONTE,P0001,B051,Ligne05,Universite,,
1737532805100,PASSAGER_MONTE,P0002,B051,Ligne05,Universite,,
1737532805300,PASSAGER_MONTE,P0004,B052,Ligne05,Universite,,
1737532810000,PASSAGER_DESCEND,P0001,B051,Ligne05,Centre-ville,,
1737532810200,PASSAGER_DESCEND,P0003,B051,Ligne05,Carrefour,,
1737532810300,PASSAGER_DESCEND,P0004,B052,Ligne05,Carrefour,,
1737532815300,PASSAGER_MONTE,P0004,B052,Ligne05,Carrefour,,
1737532820300,PASSAGER_DESCEND,P0004,B052,Ligne05,Centre-ville,,
