timestamp,type,bus_id,passager_id,station,priorite
0,EMBARQUEMENT,BUS-L3-02,P001,13e Avenue,NORMALE
1,EMBARQUEMENT,BUS-L1-01,P002,Carrefour de l'Estrie,HAUTE
2,EMBARQUEMENT,BUS-L3-02,P003,King Ouest,HAUTE
3,EMBARQUEMENT,BUS-L11-02,P004,Universite Bishop's,NORMALE
4,EMBARQUEMENT,BUS-L1-02,P005,Bowen Sud,NORMALE
5,EMBARQUEMENT,BUS-L7-01,P006,Andre/Hallee,NORMALE
6,EMBARQUEMENT,BUS-L11-01,P007,Plateau St-Joseph,NORMALE
7,DEBARQUEMENT,BUS-L11-02,P004,King Ouest,NORMALE
8,EMBARQUEMENT,BUS-L7-01,P008,Plateau St-Joseph,HAUTE
9,EMBARQUEMENT,BUS-L2-01,P009,Universite Bishop's,NORMALE
10,DEBARQUEMENT,BUS-L2-01,P009,Station du Cegep,HAUTE
11,DEBARQUEMENT,BUS-L1-02,P005,Carrefour de l'Estrie,NORMALE
12,EMBARQUEMENT,BUS-L8-02,P010,Universite de Sherbrooke,HAUTE
13,EMBARQUEMENT,BUS-L2-02,P011,Universite de Sherbrooke,HAUTE
14,EMBARQUEMENT,BUS-L7-01,P012,Plateau St-Joseph,NORMALE
15,EMBARQUEMENT,BUS-L4-02,P013,Carrefour de l'Estrie,NORMALE
16,EMBARQUEMENT,BUS-L7-02,P014,CHUS-Fleurimont,NORMALE
17,EMBARQUEMENT,BUS-L7-01,P015,Andre/Hallee,NORMALE
18,EMBARQUEMENT,BUS-L8-01,P016,CHUS-Fleurimont,HAUTE
19,EMBARQUEMENT,BUS-L4-01,P017,King Ouest,NORMALE
20,EMBARQUEMENT,BUS-L6-02,P018,Universite de Sherbrooke,HAUTE
21,DEBARQUEMENT,BUS-L6-02,P018,CHUS-Fleurimont,NORMALE
22,DEBARQUEMENT,BUS-L7-01,P008,Andre/Hallee,NORMALE
23,EMBARQUEMENT,BUS-L8-02,P019,CHUS-Fleurimont,HAUTE
24,EMBARQUEMENT,BUS-L1-02,P020,Universite de Sherbrooke,NORMALE
25,EMBARQUEMENT,BUS-L11-02,P021,Universite Bishop's,NORMALE
26,DEBARQUEMENT,BUS-L7-01,P012,CHUS-Fleurimont,NORMALE
27,DEBARQUEMENT,BUS-L11-01,P007,Universite Bishop's,NORMALE
28,EMBARQUEMENT,BUS-L2-01,P022,Universite Bishop's,NORMALE
29,DEBARQUEMENT,BUS-L1-02,P020,Carrefour de l'Estrie,NORMALE
30,EMBARQUEMENT,BUS-L4-01,P023,Carrefour de l'Estrie,HAUTE
